voter_id,state,bill_type,number,roll,value,result,chamber,sess,yr,category,type_vote
A000370,NC,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
A000371,CA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
A000376,TX,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
A000369,NV,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
A000148,MA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
A000378,IA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
B001300,CA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
B001270,CA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
B001281,OH,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
B001287,CA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
B001292,VA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
B001257,FL,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
B000490,GA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
B000574,OR,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
B001303,DE,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
B001278,OR,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
B001312,GA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
B001223,NY,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
B001296,PA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
B001304,MD,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
B001313,OH,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
B001285,CA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
B001224,MO,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
B001286,IL,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
B001251,NC,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
C000059,CA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
C001112,CA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
C001097,CA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
C001072,IN,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
C001125,LA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
C001090,PA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
C001055,HI,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
C001117,IL,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
C001066,FL,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
C001091,TX,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
C001127,FL,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
C001080,CA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
C001084,RI,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
C001101,MA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
C001067,NY,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
C001061,MO,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
C000537,SC,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
C001068,TN,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
C001053,OK,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
C001078,VA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
C000754,TN,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
C001110,CA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
C001059,CA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
C001069,CT,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
C001119,MN,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
C001111,FL,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
C001121,CO,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
C001063,TX,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
C001114,UT,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
D000629,KS,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
D000096,IL,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
D000631,PA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
D000191,OR,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
D000197,CO,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
D000216,CT,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
D000617,WA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
D000630,NY,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
D000627,FL,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
D000623,CA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
D000616,TN,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
D000610,FL,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
D000624,MI,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
D000399,TX,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
D000482,PA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
E000299,TX,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
E000215,CA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
E000297,NY,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
E000296,PA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
F000466,PA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
F000468,TX,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
F000449,NE,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
F000454,IL,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
F000462,FL,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
G000578,FL,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
G000574,AZ,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
G000559,CA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
G000597,NY,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
G000061,CA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
G000586,IL,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
G000587,TX,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
G000592,ME,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
G000585,CA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
G000588,OH,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
G000581,TX,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
G000583,NJ,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
G000553,TX,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
G000551,AZ,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
H001090,CA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
H001053,MO,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
H001081,CT,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
H001056,WA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
H001038,NY,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
H001047,CT,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
H001066,NV,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
H001085,PA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
H000874,MD,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
H001068,CA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
I000056,CA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
J000032,TX,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
J000305,CA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
J000020,NY,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
J000298,WA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
J000294,NY,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
J000288,GA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
J000126,TX,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
J000306,NY,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
J000295,OH,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
J000302,PA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
K000396,HI,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
K000009,OH,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
K000386,NY,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
K000375,MA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
K000395,PA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
K000385,IL,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
K000376,PA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
K000389,CA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
K000380,MI,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
K000381,WA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
K000397,CA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
K000394,NJ,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
K000188,WI,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
K000378,IL,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
K000368,AZ,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
K000391,IL,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
K000382,NH,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
L000588,PA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
L000559,RI,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
L000560,WA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
L000557,CT,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
L000581,MI,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
L000586,FL,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
L000551,CA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
L000590,NV,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
L000273,NM,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
L000593,CA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
L000592,MI,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
L000582,CA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
L000397,CA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
L000576,MO,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
L000579,CA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
L000591,VA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
L000562,MA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
M001203,NJ,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
M000317,NY,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
M000087,NY,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
M001185,NY,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
M001135,NC,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
M001199,FL,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
M001163,CA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
M001208,GA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
M001157,TX,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
M001143,MN,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
M001200,VA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
M000312,MA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
M001180,WV,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
M001166,CA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
M001137,NY,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
M001186,MI,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
M001188,NY,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
M000687,MD,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
M001215,IA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
M001160,WI,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
M001206,NY,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
M001196,MA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
M001214,IN,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
M001202,FL,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
N000002,NY,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
N000179,CA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
N000015,MA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
N000191,CO,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
N000192,IL,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
N000188,NJ,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
O000171,AZ,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
O000019,CA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
O000172,NY,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
O000173,MN,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
P000034,NJ,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
P000613,CA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
P000614,NH,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
P000096,NJ,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
P000604,NJ,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
P000615,IN,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
P000593,CO,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
P000608,CA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
P000616,MN,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
P000597,ME,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
P000607,WI,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
P000618,CA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
P000599,FL,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
P000617,MA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
P000523,NC,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
Q000023,IL,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
R000606,MD,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
R000585,NY,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
R000610,PA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
R000602,NY,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
R000305,NC,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
R000486,CA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
R000599,CA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
R000576,MD,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
R000515,IL,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
R000577,OH,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
S001156,CA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
S001168,MD,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
S001205,PA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
S001145,IL,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
S001150,CA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
S001190,IL,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
S001180,OR,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
S001216,WA,h,4673,14,Yea,Passed,house,117,2022,passage,On Passage of the Bill
