thomas_id,name,rank,bioguide_id
HSAG,David Scott,1,S001157
HSAG,Glenn Thompson,1,T000467
HSAG,Jim Costa,2,C001059
HSAG,Austin Scott,2,S001189
HSAG,James P. McGovern,3,M000312
HSAG,"Eric A. ""Rick"" Crawford",3,C001087
HSAG,Scott DesJarlais,4,D000616
HSAG,Alma S. Adams,5,A000370
HSAG,Vicky Hartzler,5,H001053
HSAG,Abigail Davis Spanberger,6,S001209
HSAG,Doug LaMalfa,6,L000578
HSAG,Jahana Hayes,7,H001081
HSAG,Rodney Davis,7,D000619
HSAG,Antonio Delgado,8,D000630
HSAG,Rick W. Allen,8,A000372
HSAG,Bobby L. Rush,9,R000515
HSAG,David Rouzer,9,R000603
HSAG,Chellie Pingree,10,P000597
HSAG,Trent Kelly,10,K000388
HSAG,Gregorio Kilili Camacho Sablan,11,S001177
HSAG,Don Bacon,11,B001298
HSAG,Ann Kuster,12,K000382
HSAG,Dusty Johnson,12,J000301
HSAG,Cheri Bustos,13,B001286
HSAG,James R. Baird,13,B001307
HSAG,Sean Patrick Maloney,14,M001185
HSAG,Stacey E. Plaskett,15,P000610
HSAG,Chris Jacobs,15,J000020
HSAG,Tom O’Halleran,16,O000171
HSAG,Troy Balderson,16,B001306
HSAG,Salud O. Carbajal,17,C001112
HSAG,Michael Cloud,17,C001115
HSAG,Ro Khanna,18,K000389
HSAG,Tracey Mann,18,M000871
HSAG,"Al Lawson, Jr.",19,L000586
HSAG,Randy Feenstra,19,F000446
HSAG,J. Luis Correa,20,C001110
HSAG,Mary E. Miller,20,M001211
HSAG,Angie Craig,21,C001119
HSAG,Barry Moore,21,M001212
HSAG,Josh Harder,22,H001090
HSAG,Kat Cammack,22,C001039
HSAG,Cynthia Axne,23,A000378
HSAG,Michelle Fischbach,23,F000470
HSAG,Kim Schrier,24,S001216
HSAG,Julia Letlow,24,L000595
HSAG,Jimmy Panetta,25,P000613
HSAG,Ann Kirkpatrick,26,K000368
HSAG,"Sanford D. Bishop, Jr.",27,B000490
HSAP,Rosa L. DeLauro,1,D000216
HSAP,Kay Granger,1,G000377
HSAP,Marcy Kaptur,2,K000009
HSAP,Harold Rogers,2,R000395
HSAP,David E. Price,3,P000523
HSAP,Robert B. Aderholt,3,A000055
HSAP,Lucille Roybal-Allard,4,R000486
HSAP,Michael K. Simpson,4,S001148
HSAP,"Sanford D. Bishop, Jr.",5,B000490
HSAP,John R. Carter,5,C001051
HSAP,Barbara Lee,6,L000551
HSAP,Ken Calvert,6,C000059
HSAP,Betty McCollum,7,M001143
HSAP,Tom Cole,7,C001053
HSAP,Tim Ryan,8,R000577
HSAP,Mario Diaz-Balart,8,D000600
HSAP,C. A. Dutch Ruppersberger,9,R000576
HSAP,Steve Womack,9,W000809
HSAP,Debbie Wasserman Schultz,10,W000797
HSAP,Henry Cuellar,11,C001063
HSAP,"Charles J. ""Chuck"" Fleischmann",11,F000459
HSAP,Chellie Pingree,12,P000597
HSAP,Jaime Herrera Beutler,12,H001056
HSAP,Mike Quigley,13,Q000023
HSAP,David P. Joyce,13,J000295
HSAP,Derek Kilmer,14,K000381
HSAP,Andy Harris,14,H001052
HSAP,Matt Cartwright,15,C001090
HSAP,Mark E. Amodei,15,A000369
HSAP,Grace Meng,16,M001188
HSAP,Chris Stewart,16,S001192
HSAP,Mark Pocan,17,P000607
HSAP,Steven M. Palazzo,17,P000601
HSAP,Katherine M. Clark,18,C001101
HSAP,David G. Valadao,18,V000129
HSAP,Pete Aguilar,19,A000371
HSAP,Dan Newhouse,19,N000189
HSAP,Lois Frankel,20,F000462
HSAP,John R. Moolenaar,20,M001194
HSAP,Cheri Bustos,21,B001286
HSAP,John H. Rutherford,21,R000609
HSAP,Bonnie Watson Coleman,22,W000822
HSAP,Ben Cline,22,C001118
HSAP,Brenda L. Lawrence,23,L000581
HSAP,Guy Reschenthaler,23,R000610
HSAP,Norma J. Torres,24,T000474
HSAP,Mike Garcia,24,G000061
HSAP,Charlie Crist,25,C001111
HSAP,Ashley Hinson,25,H001091
HSAP,Ann Kirkpatrick,26,K000368
HSAP,Tony Gonzales,26,G000594
HSAP,Ed Case,27,C001055
HSAP,Adriano Espaillat,28,E000297
HSAP,Josh Harder,29,H001090
HSAP,Jennifer Wexton,30,W000825
HSAP,David J. Trone,31,T000483
HSAP,Lauren Underwood,32,U000040
HSAP,Susie Lee,33,L000590
HSAS,Adam Smith,1,S000510
HSAS,Mike Rogers,1,R000575
HSAS,James R. Langevin,2,L000559
HSAS,Joe Wilson,2,W000795
HSAS,Rick Larsen,3,L000560
HSAS,Michael R. Turner,3,T000463
HSAS,Jim Cooper,4,C000754
HSAS,Doug Lamborn,4,L000564
HSAS,Joe Courtney,5,C001069
HSAS,Robert J. Wittman,5,W000804
